姓名,性别,民族,出生地,出生日期,毕业院校,专业背景,担任职务,年龄
徐乐江,男,汉族,山东,1959-04-01 00:00:00,中央党校,法学理论,"中国共产党第十九届中央委员会委员,中央统战部副部长,中华全国工商业联合会党组书记、常务副主席（正部长级）,中国民间商会副会长",58.0
徐安祥,男,汉族,江苏,1956-04-01 00:00:00,,军人,"中国共产党第十九届中央委员会委员,中国人民解放军南部战区副司令员兼战区空军司令员",61.0
高津,男,汉族,江苏,1959-04-01 00:00:00,二炮指挥学院,,"中国共产党第十九届中央委员会委员,中国人民解放军战略支援部队司令员",58.0
郭声琨,男,汉族,江西,1954-10-01 00:00:00,北京科技大学,管理学博士,"中央政治局委员、中央书记处书记,国务委员、国务院党组成员,中央政法委员会书记,武装警察部队第一政委、党委第一书记,总警监",63.0
郭树清,男,汉族,内蒙古,1956-08-01 00:00:00,中国社会科学院研究生院,法学博士,"中国共产党第十九届中央委员会委员,中国银行业监督管理委员会主席、党委书记,央行货币政策委员会委员",61.0
唐仁健,男,汉族,重庆,1962-08-01 00:00:00,西南财经大学,经济学博士,"中国共产党第十九届中央委员会委员,甘肃省委副书记,省长、省政府党组书记",55.0
黄明,男,汉族,江苏,1957-10-01 00:00:00,江苏公安专科学校、南京师范大学,在职研究生,"中国共产党第十九届中央委员会委员,中华人民共和国公安部党委副书记、副部长（正部长级）、中央政法委委员",60.0
黄守宏,男,汉族,河南,1964-06-01 00:00:00,"北京农业大学, 中国农业科学",管理学博士,"中国共产党第十九届中央委员会委员,国务院研究室党组书记、主任",53.0
黄坤明,男,汉族,福建,1956-11-01 00:00:00,清华大学,管理学博士,"中央政治局委员、中央书记处书记,中央宣传部部长,中央精神文明建设指导委员会办公室主任",61.0
黄树贤,男,汉族,江苏,1954-09-01 00:00:00,南京大学,文哲史,"中国共产党第十九届中央委员会委员,民政部部长、党组书记",63.0
曹建明,男,汉族,江苏,1955-09-01 00:00:00,华东政法学院,法学硕士,"中国共产党第十九届中央委员会委员,最高人民检察院检察长、党组书记、检察委员会委员,首席大检察官",62.0
龚正,男,汉族,江苏,1960-03-01 00:00:00,厦门大学,经济学博士,"中国共产党第十九届中央委员会委员,山东省委副书记,省长、省政府党组书记,山东省副总河长",57.0
盛斌,男,汉族,辽宁,1958-12-01 00:00:00,国防大学,军事学硕士,"中国共产党第十九届中央委员会委员,军委国防动员部部长兼任国家国防动员委员会秘书长",59.0
雪克来提·扎克尔,男,维吾尔族,新疆,1953-08-01 00:00:00,中央党校,工商管理硕士,"中国共产党第十九届中央委员会委员,新疆维吾尔自治区党委副书记、区政府主席、党组书记,新疆总河长",64.0
鄂竟平,男,汉族,河北,1956-01-01 00:00:00,华北水利水电大学,水工专业,"中国共产党第十九届中央委员会委员,国务院南水北调工程建设委员会办公室主任、党组书记,水利部副部长、党组副书记、国家防汛抗旱总指挥部副总指挥",61.0
鹿心社,男,汉族,山东,1956-11-01 00:00:00,中央党校,工学学士,"中国共产党第十九届中央委员会委员,江西省委书记,省人大常委会主任、党组书记,江西省总河长",61.0
谌贻琴,女,白族,贵州,1959-12-01 00:00:00,中央党校,经济学,"中国共产党第十九届中央委员会委员,贵州省委副书记、副省长、代省长、省政府党组书记,省委党校校长",58.0
彭清华,男,汉族,湖北,1957-04-01 00:00:00,中山大学,管理学博士,"中国共产党第十九届中央委员会委员,广西壮族自治区党委书记,自治区人大常委会主任,广西军区党委第一书记,广西总河长",60.0
蒋超良,男,汉族,湖南,1957-08-01 00:00:00,西南财经大学,经济学硕士,"中国共产党第十九届中央委员会委员,湖北省委书记、省人大常委会主任,省军区党委第一书记,湖北省第一总河湖长?",60.0
韩正,男,汉族,浙江,1954-04-01 00:00:00,华东师范大学,经济学硕士,中央政治局常委,63.0
韩卫国,男,汉族,河北,1956-01-01 00:00:00,国防大学,军事学硕士,"中国共产党第十九届中央委员会委员,中国人民解放军陆军司令员",61.0
韩长赋,男,汉族,,1954-10-01 00:00:00,中央党校,法学博士,"中国共产党第十九届中央委员会委员,中华人民共和国农业部部长",63.0
傅政华,男,汉族,河北,1955-03-01 00:00:00,北京大学,法学硕士,"中国共产党第十九届中央委员会委员,公安部党委副书记、公安部常务副部长,中央610办公室主任",62.0
谢伏瞻,男,汉族,湖北,1954-08-01 00:00:00,中央党校,工学硕士,"中国共产党第十九届中央委员会委员,河南省委书记,省人大常委会主任,河南省总河长",63.0
楼阳生,男,汉族,浙江,1959-10-01 00:00:00,浙江大学,工商管理硕士,"中国共产党第十九届中央委员会委员,山西省委副书记、省长,省政府党组书记,山西省总河长、汾河河长",58.0
蔡奇,男,汉族,福建,1955-12-01 00:00:00,福建师范大学,经济学博士,"中央政治局委员,北京市委书记,北京2022年冬奥会和冬残奥会组织委员会主席、党组书记",62.0
蔡名照,男,汉族,山东,1955-06-01 00:00:00,中央党校,政治经济学,"中国共产党第十九届中央委员会委员,新华社社长、党组书记",62.0
